design_range_nm,spec_energy_whkg,objective,converged,feasible,start_name,starts_tried,objective_value,mixed_objective_kg,doc_per_nmi,trip_doc_usd,MTOW_kg,MTOW_lb,fuel_burn_kg,fuel_burn_lb,fuel_mileage_lb_per_nmi,W_battery_kg,W_battery_lb,S_ref_m2,S_ref_ft2,cruise_hybridization,climb_hybridization,descent_hybridization,electric_percent,electric_energy_frac,battery_energy_frac,engine_rating_hp,motor_rating_hp,generator_rating_hp,W_fuel_max_kg,OEW_kg,MTOW_margin_lb,rotate_range_ft,Vstall_kn,SOC_final,engineoutclimb_gamma,max_constraint_violation,n_iter,wall_time_s,error
300.0,300.0,fuel,True,True,upstream,upstream,179.47082129395247,179.47082129395247,0.7264885827932214,217.94657483796638,5699.999999999914,12566.34894425981,122.47082129395334,270.00194313507467,0.9000064771169156,1594.884545732973,3516.118548682129,34.036686103213064,366.36784009665416,0.6598915114980685,0.7478808751103616,0.22331126297048964,65.98915114980684,0.5910625104773508,0.24646504046375486,350.04457820459106,652.4727598755981,339.54324085939567,500.0,3529.052262736557,5.212386895436794e-07,4452.099737342949,81.64146868226439,-1.7309524785735775e-09,0.03061689676914483,1.7309524785735775e-09,51,84.27285933494568,
300.0,350.0,fuel,True,True,upstream,upstream,139.9210436905367,139.9210436905367,0.6258068057032473,187.74204171097418,5700.0,12566.34894426,82.9210436905367,182.80960874342338,0.6093653624780779,1670.1361776564625,3682.019998748021,34.03668610576871,366.36784012416285,0.7699725746745429,0.8293769659236452,0.47530004190865976,76.99725746745429,0.7234577991141085,0.371142913518728,236.91018077516335,652.4727599234093,229.80287540835695,500.0,3493.3504090553065,-8.869315024639945e-07,4452.0997352501445,81.64146867919999,-3.2225638824101566e-11,0.03061689677845722,8.869315024639945e-07,55,83.0809063911438,
300.0,300.0,fuel,True,True,high,high,179.47082188091105,179.47082188091105,0.7264885843727735,217.94657531183205,5700.0,12566.34894426,122.47082188091105,270.0019444290949,0.9000064814303164,1594.8845456523939,3516.1185485044825,34.03668610302632,366.367840094644,0.659891509446415,0.7478808728862671,0.22331126153788725,65.9891509446415,0.5910625085054672,0.24646503895913494,350.04457823232093,652.4727598710493,339.54324088536384,500.0,3529.052262738243,-5.986598807794508e-07,4452.099737530913,81.64146868248898,1.5274404102649797e-09,0.030616896768297604,5.986598807794508e-07,81,181.39607071876526,
300.0,400.0,fuel,True,True,upstream,upstream,95.9226380411343,95.9226380411343,0.5140091662640438,154.20274987921314,5699.999999999102,12566.348944258021,38.92263804114328,85.80972832563772,0.28603242775212573,1756.4351444789486,3872.2766532428413,34.03668610300639,366.3678400944295,0.89210915535826,0.9200643103473916,0.7542146791117442,89.21091553582599,0.870369774859,0.6017850794033053,111.20428603383252,652.472759871112,107.86815744442032,500.0000001738537,3451.049847493977,-3.299510353826918e-08,4452.099737528599,81.64146868250646,5.245248679841552e-11,0.030616896768312703,3.299510353826918e-08,63,93.4722101688385,
300.0,250.0,fuel,True,True,high,high,215.71895073893455,215.71895073893455,0.819436023298022,245.8308069894066,5699.999999999996,12566.348944259991,158.71895073893458,349.915389307415,1.1663846310247168,1524.8086569458073,3361.6276590192024,34.03668610303603,366.3678400947486,0.5520109034080773,0.6681324916382564,0.01,55.20109034080774,0.4694121429838418,0.1674133417322471,460.7679842898587,652.4727598710767,446.94494476116904,500.0,3562.8800226086287,-6.467803359555546e-07,4452.099737528037,81.6414686824773,2.0741310847657846e-09,0.03061689676830904,6.467803359555546e-07,119,290.6513214111328,
300.0,450.0,fuel,True,True,upstream,upstream,55.70715061662133,55.70715061662133,0.4013969921657615,120.41909764972846,5548.428709157613,12232.191447653448,0.22286352504519355,0.49132996888872454,0.001637766562962415,1745.4492987799163,3848.0570092951507,33.131601112029585,356.6255863320467,0.999,0.999,1.0,99.9,0.9992389299274332,0.9966223408862425,1.3552871379273312,635.2809798891523,1.3146285313126964,500.0000004732035,3349.164176853068,-9.181349014397711e-10,4452.099737533875,81.64146868249946,-4.64628335805628e-14,0.030604430795778795,5.729281460846912e-09,75,138.0176739692688,
300.0,400.0,fuel,False,True,high,high,95.92263659220522,95.92263659220522,0.5140091630305756,154.2027489091727,5700.0,12566.34894426,38.92263659220522,85.8097251312761,0.28603241710425364,1756.435151707308,3872.276669178646,34.03668614000793,366.3678404927108,0.8921091547703878,0.9200643153802828,0.7542146921138728,89.21091547703878,0.8703697797424306,0.6017850897514526,111.20428197221202,652.4727605724798,107.868154580365,500.0,3451.0498474446304,-1.266366916752304e-05,4452.099706925577,81.64146863813635,-1.7881781333439761e-09,0.03061689690457511,1.266366916752304e-05,71,153.79569816589355,
300.0,450.0,fuel,True,True,high,high,55.707150623227975,55.707150623227975,0.4013969921852187,120.4190976555656,5548.42870910951,12232.191447547399,0.22286353213286858,0.49132998451437326,0.001637766615047911,1745.4492987650965,3848.0570092624785,33.13160111173753,356.625586328903,0.9989999999767493,0.9989999999695912,0.9999999999846664,99.89999999767493,0.9992389299032225,0.9966223407790759,1.3552871717655746,635.2809798839052,1.3146285311244437,500.0,3349.1641768336517,-4.711591827799566e-08,4452.099737527692,81.6414686825054,2.4312551971661378e-11,0.030604430795804737,4.711591827799566e-08,75,105.4208631515503,
300.0,500.0,fuel,True,True,upstream,upstream,51.01502690705256,51.01502690705256,0.3544712276494188,106.34136829482563,5081.0598268774975,11201.819437053322,0.2044286382775836,0.45068800049053015,0.0015022933349684339,1442.1427836999476,3179.380604810529,30.34077866632581,326.5854235375485,0.999,0.999,1.0,99.9,0.9992396330619955,0.9966250973911206,1.2419412186045566,582.2220006432473,1.2046831560379379,500.0000029299121,3185.120244762129,-4.913154043606482e-07,4452.099737498666,81.64146868250538,1.8695583969829954e-10,0.0305614556806274,4.913154043606482e-07,72,106.64442038536072,
300.0,350.0,fuel,True,True,high,high,139.92104373014658,139.92104373014658,0.6258068057637278,187.74204172911834,5699.999999999999,12566.348944259998,82.92104373014658,182.8096088307482,0.6093653627691606,1670.1361772605708,3682.019997875229,34.03668610301056,366.3678400944744,0.7699725745660201,0.8293769657246893,0.47530004180830515,76.99725745660201,0.7234577989732033,0.37114291335573674,236.91018091408895,652.4727598710648,229.80287548678726,500.0,3493.350408998328,2.4149358068825677e-08,4452.099737533618,81.64146868250786,-4.860242763804479e-11,0.030616896768288708,3.1748026419943575e-10,109,316.1810255050659,
300.0,500.0,fuel,True,True,high,high,51.015026927090915,51.015026927090915,0.354471227666216,106.3413682998648,5081.05982627816,11201.819435732008,0.20442866430932166,0.45068805788068883,0.0015022935262689627,1442.1427832721902,3179.380603867485,30.340778662746512,326.58542349902126,0.9989999998993592,0.9989999998884291,0.9999999999330598,99.89999998993592,0.9992396329650836,0.996625096962102,1.241941455765155,582.2220005774117,1.2046831706692989,500.0,3185.1202445823787,-5.306951607053634e-07,4452.099737412107,81.64146868250597,1.0211917422786598e-10,0.030561455680961976,5.306951607053634e-07,68,100.90027618408203,
300.0,550.0,fuel,True,True,high,high,47.72121388316007,47.72121388316007,0.3215270899264601,96.45812697793802,4752.965405442413,10478.495053471152,0.19155982873594016,0.42231713185938735,0.0014077237728646246,1229.046250428152,2709.583166932372,28.38161255496186,305.49713502337335,0.9989999999607251,0.9989999999559609,0.9999999999739302,99.89999999607251,0.9992400699686215,0.9966265681607297,1.164126871681701,544.8320950335238,1.1292030510852922,500.0,3070.1352254399226,-5.608508217846975e-07,4452.099737350573,81.6414686825657,-1.6519741130593957e-10,0.030509983773178168,5.608508217846975e-07,61,100.19977855682373,
300.0,550.0,fuel,True,True,upstream,upstream,47.721213885267765,47.721213885267765,0.3215270900048708,96.45812700146124,4752.96540660644,10478.495056037395,0.1915598192033649,0.4223171108436563,0.0014077237028121876,1229.046250969355,2709.5831681255204,28.381612561954608,305.4971350986427,0.999,0.999,1.0,99.9,0.9992400700066179,0.9966265683289602,1.1641268483171565,544.832095161435,1.1292030428583029,500.00000000000006,3070.1352258178817,4.547473508864641e-13,4452.099737532784,81.64146868250538,-1.4432899320127035e-15,0.03050998377250845,6.010303366074624e-12,104,190.85719513893127,
300.0,600.0,fuel,True,True,upstream,upstream,45.28058931593476,45.28058931593476,0.2971181826823993,89.13545480471979,4509.852484962898,9942.52280933015,0.18206446630577328,0.40138344104365165,0.0013379448034788388,1071.0616669361561,2361.286780270267,26.92990059676738,289.87103755450175,0.999,0.999,1.0,99.9,0.9992403510277861,0.9966274510199513,1.1063653821261907,517.1053138794182,1.0731744152384843,500.000000200839,2985.0163835803532,-4.390994945424609e-08,4452.099737537194,81.64146868250529,2.6252056084530295e-12,0.030469710601450716,4.390994945424609e-08,93,170.49896502494812,
300.0,250.0,fuel,True,True,upstream,upstream,215.71895041062027,215.71895041062027,0.8194360224097116,245.83080672291345,5700.0,12566.34894426,158.71895041062027,349.9153885836058,1.1663846286120194,1524.8086569459508,3361.627659019519,34.03668610301107,366.3678400944799,0.5520109047681359,0.6681324931267465,0.01000000008229506,55.20109047681358,0.46941214409059395,0.16741334234468375,460.7679842897657,652.4727598710941,446.9449447610824,500.0,3562.8800226079757,7.816106517566368e-08,4452.099737532666,81.64146868250727,-2.5106248417033905e-10,0.03061689676829362,2.5106248417033905e-10,239,566.6526441574097,
300.0,650.0,fuel,True,True,upstream,upstream,43.399143135782644,43.399143135782644,0.2783040433859245,83.49121301577735,4322.437554835902,9529.343614709107,0.1747675874236269,0.38529657679153706,0.001284321922638457,949.2215308528071,2092.675260017725,25.81078074628479,277.8249317383456,0.9989999999848228,0.9989999999820943,0.99999999998996,99.89999999848229,0.9992405369616801,0.9966280663377659,1.0617685836842927,495.76053951477405,1.0299155162627092,500.0,2919.448886421434,-5.6797034631017596e-08,4452.099737544177,81.64146868250532,1.5105611206323033e-11,0.030446255742142284,5.6797034631017596e-08,97,148.10263681411743,
