design_range_nm,spec_energy_whkg,objective,converged,feasible,start_name,starts_tried,objective_value,mixed_objective_kg,doc_per_nmi,trip_doc_usd,MTOW_kg,MTOW_lb,fuel_burn_kg,fuel_burn_lb,fuel_mileage_lb_per_nmi,W_battery_kg,W_battery_lb,S_ref_m2,S_ref_ft2,cruise_hybridization,climb_hybridization,descent_hybridization,electric_percent,electric_energy_frac,battery_energy_frac,engine_rating_hp,motor_rating_hp,generator_rating_hp,W_fuel_max_kg,OEW_kg,MTOW_margin_lb,rotate_range_ft,Vstall_kn,SOC_final,engineoutclimb_gamma,max_constraint_violation,n_iter,wall_time_s,error
300.0,250.0,fuel,True,True,upstream,"high=OK(215.72),upstream=OK(215.72)",215.71895041062027,215.71895041062027,0.8194360224097116,245.83080672291345,5700.0,12566.34894426,158.71895041062027,349.9153885836058,1.1663846286120194,1524.8086569459508,3361.627659019519,34.03668610301107,366.3678400944799,0.5520109047681359,0.6681324931267465,0.01000000008229506,55.20109047681358,0.46941214409059395,0.16741334234468375,460.7679842897657,652.4727598710941,446.9449447610824,500.0,3562.8800226079757,7.816106517566368e-08,4452.099737532666,81.64146868250727,-2.5106248417033905e-10,0.03061689676829362,2.5106248417033905e-10,239.0,857.3039655685425,
300.0,300.0,fuel,True,True,upstream,"upstream=OK(179.47),high=OK(179.47)",179.47082129395247,179.47082129395247,0.7264885827932214,217.94657483796638,5699.999999999914,12566.34894425981,122.47082129395334,270.00194313507467,0.9000064771169156,1594.884545732973,3516.118548682129,34.036686103213064,366.36784009665416,0.6598915114980685,0.7478808751103616,0.22331126297048964,65.98915114980684,0.5910625104773508,0.24646504046375486,350.04457820459106,652.4727598755981,339.54324085939567,500.0,3529.052262736557,5.212386895436794e-07,4452.099737342949,81.64146868226439,-1.7309524785735775e-09,0.03061689676914483,1.7309524785735775e-09,51.0,265.66893005371094,
300.0,350.0,fuel,True,True,upstream,"upstream=OK(139.92),high=OK(139.92)",139.9210436905367,139.9210436905367,0.6258068057032473,187.74204171097418,5700.0,12566.34894426,82.9210436905367,182.80960874342338,0.6093653624780779,1670.1361776564625,3682.019998748021,34.03668610576871,366.36784012416285,0.7699725746745429,0.8293769659236452,0.47530004190865976,76.99725746745429,0.7234577991141085,0.371142913518728,236.91018077516335,652.4727599234093,229.80287540835695,500.0,3493.3504090553065,-8.869315024639945e-07,4452.0997352501445,81.64146867919999,-3.2225638824101566e-11,0.03061689677845722,8.869315024639945e-07,55.0,399.2619318962097,
300.0,400.0,fuel,True,True,upstream,"upstream=OK(95.923),high=FEAS(95.923)",95.9226380411343,95.9226380411343,0.5140091662640438,154.20274987921314,5699.999999999102,12566.348944258021,38.92263804114328,85.80972832563772,0.28603242775212573,1756.4351444789486,3872.2766532428413,34.03668610300639,366.3678400944295,0.89210915535826,0.9200643103473916,0.7542146791117442,89.21091553582599,0.870369774859,0.6017850794033053,111.20428603383252,652.472759871112,107.86815744442032,500.0000001738537,3451.049847493977,-3.299510353826918e-08,4452.099737528599,81.64146868250646,5.245248679841552e-11,0.030616896768312703,3.299510353826918e-08,63.0,247.26790833473206,
300.0,450.0,fuel,True,True,upstream,"upstream=OK(55.707),high=OK(55.707)",55.70715061662133,55.70715061662133,0.4013969921657615,120.41909764972846,5548.428709157613,12232.191447653448,0.22286352504519355,0.49132996888872454,0.001637766562962415,1745.4492987799163,3848.0570092951507,33.131601112029585,356.6255863320467,0.999,0.999,1.0,99.9,0.9992389299274332,0.9966223408862425,1.3552871379273312,635.2809798891523,1.3146285313126964,500.0000004732035,3349.164176853068,-9.181349014397711e-10,4452.099737533875,81.64146868249946,-4.64628335805628e-14,0.030604430795778795,5.729281460846912e-09,75.0,243.4385371208191,
300.0,500.0,fuel,True,True,upstream,"upstream=OK(51.015),high=OK(51.015)",51.01502690705256,51.01502690705256,0.3544712276494188,106.34136829482563,5081.0598268774975,11201.819437053322,0.2044286382775836,0.45068800049053015,0.0015022933349684339,1442.1427836999476,3179.380604810529,30.34077866632581,326.5854235375485,0.999,0.999,1.0,99.9,0.9992396330619955,0.9966250973911206,1.2419412186045566,582.2220006432473,1.2046831560379379,500.0000029299121,3185.120244762129,-4.913154043606482e-07,4452.099737498666,81.64146868250538,1.8695583969829954e-10,0.0305614556806274,4.913154043606482e-07,72.0,207.54469656944275,
300.0,550.0,fuel,True,True,high,"high=OK(47.721),upstream=OK(47.721)",47.72121388316007,47.72121388316007,0.3215270899264601,96.45812697793802,4752.965405442413,10478.495053471152,0.19155982873594016,0.42231713185938735,0.0014077237728646246,1229.046250428152,2709.583166932372,28.38161255496186,305.49713502337335,0.9989999999607251,0.9989999999559609,0.9999999999739302,99.89999999607251,0.9992400699686215,0.9966265681607297,1.164126871681701,544.8320950335238,1.1292030510852922,500.0,3070.1352254399226,-5.608508217846975e-07,4452.099737350573,81.6414686825657,-1.6519741130593957e-10,0.030509983773178168,5.608508217846975e-07,61.0,291.056973695755,
300.0,600.0,fuel,True,True,upstream,"upstream=OK(45.281),high=OK(45.281)",45.28058931593476,45.28058931593476,0.2971181826823993,89.13545480471979,4509.852484962898,9942.52280933015,0.18206446630577328,0.40138344104365165,0.0013379448034788388,1071.0616669361561,2361.286780270267,26.92990059676738,289.87103755450175,0.999,0.999,1.0,99.9,0.9992403510277861,0.9966274510199513,1.1063653821261907,517.1053138794182,1.0731744152384843,500.000000200839,2985.0163835803532,-4.390994945424609e-08,4452.099737537194,81.64146868250529,2.6252056084530295e-12,0.030469710601450716,4.390994945424609e-08,93.0,393.5832531452179,
300.0,650.0,fuel,True,True,upstream,"upstream=OK(43.399),high=FAIL(43.717)",43.399143135782644,43.399143135782644,0.2783040433859245,83.49121301577735,4322.437554835902,9529.343614709107,0.1747675874236269,0.38529657679153706,0.001284321922638457,949.2215308528071,2092.675260017725,25.81078074628479,277.8249317383456,0.9989999999848228,0.9989999999820943,0.99999999998996,99.89999999848229,0.9992405369616801,0.9966280663377659,1.0617685836842927,495.76053951477405,1.0299155162627092,500.0,2919.448886421434,-5.6797034631017596e-08,4452.099737544177,81.64146868250532,1.5105611206323033e-11,0.030446255742142284,5.6797034631017596e-08,97.0,271.133992433548,
300.0,700.0,fuel,True,True,high,"upstream=OK(41.904),high=OK(41.904)",41.90372965962883,41.90372965962883,0.2633521347615145,79.00564042845434,4173.474817769721,9200.93699476776,0.16898148193161822,0.3725403977317335,0.0012418013257724449,852.3541646971446,1879.119273276768,24.921272338817914,268.250342925462,0.999,0.999,1.0,99.9,0.9992406628460143,0.9966285225917805,1.0262742754362653,478.8202710973336,1.0,500.00000548682175,2867.3593011115245,1.056278961186763e-06,4452.09973745017,81.6414686825036,4.601652392466349e-12,0.030434567302515137,2.7444191847883803e-07,61.0,221.3451783657074,
300.0,750.0,fuel,True,True,upstream,"upstream=OK(40.686),high=OK(40.686)",40.68618742570175,40.68618742570175,0.2511799862616289,75.35399587848867,4052.190851442935,8933.551618942098,0.1642789112724073,0.36217300407582415,0.0012072433469194138,773.4701725931558,1705.2098397864215,24.197043515806406,260.454808753367,0.999,0.999,1.0,99.9,0.9992407494476202,0.9966288630384599,1.0,465.04025635592615,1.0000000008965244,500.00000168397,2824.964029953001,-3.195486897311639e-08,4452.099737531219,81.64146868249537,-4.359013150434521e-13,0.030429339119210683,3.195486897311639e-08,107.0,423.62352108955383,
300.0,800.0,fuel,True,True,upstream,"upstream=OK(40.162),high=OK(40.162)",40.16225749102944,40.16225749102944,0.24487761947431305,73.46328584229391,4000.000000000001,8818.490487200002,0.16225749102943265,0.3577165352799978,0.001192388450933326,716.5078255513334,1579.6293609071977,23.885393756500065,257.10023866280443,0.999,0.999,1.0,99.9,0.9992407820283848,0.9966289950253826,8.50900695483192,459.1113117849283,1.000121490873011,688.0039785855047,2826.054797687898,8.119072350666556,4452.098393540076,81.64146868250545,0.00038236184036294363,0.030427805653214034,6.767073673905712e-16,55.0,340.1850745677948,
350.0,250.0,fuel,True,True,upstream,"upstream=OK(263.39),high=FAIL",263.3870029120076,263.3870029120076,0.7119918754857256,249.19715642000395,4000.000000000002,8818.490487200004,223.38700291200757,492.4840400359144,1.4070972572454696,277.9925313764425,612.8686233639514,23.885393756509604,257.1002386629071,0.01063218771198132,0.2667408903054571,0.01,1.063218771198132,0.09743274754492619,0.025385296420785713,722.1742208562395,459.11128371517765,700.5089942305636,500.0,3045.0280957573837,-1.0104133707500296e-07,4452.099737529905,81.64146868248915,1.7753796800745736e-09,0.03042779945453998,1.0104133707500296e-07,50.0,373.7734489440918,
350.0,300.0,fuel,True,True,upstream,"upstream=OK(241.22),high=OK(241.22)",241.22218606155562,241.22218606155562,0.7661762991918223,268.1617047171378,5699.999999999994,12566.348944259986,184.22218606155567,406.1403988287543,1.1604011395107265,1495.8684435589682,3297.825409906858,34.03668610316217,366.3678400961063,0.5408983946129439,0.659923838601011,0.010000000101799508,54.08983946129439,0.47374148412236317,0.16939523504364834,472.164961696381,652.4727598542471,458.00001284551604,500.0,3566.316999498362,1.9425101527303923e-06,4452.099738056697,81.641468682326,-6.20414624015464e-09,0.030616896765773813,6.20414624015464e-09,79.0,474.5216431617737,
350.0,350.0,fuel,True,True,upstream,"upstream=OK(204.54),high=FEAS(204.54)",204.54380800519556,204.54380800519556,0.6862342517197169,240.18198810190088,5700.0,12566.34894426,147.54380800519556,325.27841683477004,0.9293669052422001,1563.8851211184613,3447.7765159141927,34.03668610299169,366.36784009427123,0.6412066708155896,0.7340609029824827,0.1792205362424517,64.12066708155896,0.5790238455955474,0.23698423724465173,369.2323586742792,652.4727598711692,358.1553879140229,500.0,3534.978700304218,1.2613209037226625e-06,4452.099737534145,81.6414686825305,-2.81785892536357e-09,0.030616896768291255,2.81785892536357e-09,67.0,288.33710956573486,
350.0,400.0,fuel,True,True,high,"upstream=OK(164.9),high=OK(164.9)",164.9011124609067,164.9011124609067,0.6007445597611322,210.26059591639626,5700.0,12566.34894426,107.90111246090669,237.88123344870075,0.6796606669962879,1634.5818097683114,3603.6360349980037,34.0366861029825,366.3678400941724,0.7378689850813616,0.8055903477407689,0.40119139988915903,73.78689850813616,0.6925003624057505,0.33656716243887014,269.92020264649346,652.4727598710697,261.82259656681606,500.0,3503.9247068365676,2.059590769931674e-06,4452.099737539079,81.64146868254153,-3.848465282563218e-09,0.030616896768269043,3.848465282563218e-09,100.0,271.4944987297058,
350.0,450.0,fuel,True,True,high,"upstream=OK(121.15),high=OK(121.15)",121.14657850858381,121.14657850858381,0.5064977787781327,177.27422257234645,5699.999999999996,12566.348944259991,64.14657850858386,141.41899809109367,0.40405428026026763,1714.1384926020874,3779.0284976887137,34.036686103013906,366.3678400945104,0.8442960540608628,0.8845877085516993,0.6448713219808376,84.42960540608628,0.8174359306484139,0.501680288017926,160.43762772554368,652.4727598710726,155.6244988938477,500.0,3468.122558616802,6.00809926254442e-07,4452.099737532659,81.64146868250383,-9.52962181388628e-10,0.030616896768292403,9.52962181388628e-10,66.0,240.63871264457703,
350.0,500.0,fuel,True,True,upstream,"upstream=OK(71.404),high=OK(71.404)",71.40354482249634,71.40354482249634,0.3997004091331803,139.8951431966131,5700.0,12566.34894426,14.403544822496347,31.75438074978571,0.09072680214224489,1809.9844292476741,3990.332617825184,34.03668610301291,366.3678400944997,0.965068415704678,0.9741372153825647,0.9204724683637178,96.5068415704678,0.959069263461385,0.8402629331715756,36.02086774638153,652.4727598710809,34.94024171401302,500.0,3422.0196555643092,8.058354978857096e-07,4452.099737532747,81.64146868250506,-1.089432183354333e-09,0.03061689676829287,1.089432183354333e-09,86.0,373.27130103111267,
